chronics at: Scenario_march_013	total score: 9478.230469	time steps: 225/8062
chronics at: Scenario_march_027	total score: 21518.150391	time steps: 501/8062
chronics at: Scenario_march_094	total score: 61508.128906	time steps: 1657/8062
chronics at: Scenario_march_236	total score: 6878.921387	time steps: 181/8062
chronics at: Scenario_march_237	total score: 9274.694336	time steps: 223/8062
chronics at: Scenario_march_245	total score: 839.121887	time steps: 16/8062
chronics at: Scenario_march_254	total score: 5576.270996	time steps: 129/8062
chronics at: Scenario_may_028	total score: 35606.371094	time steps: 1736/8062
chronics at: Scenario_may_031	total score: 20914.337891	time steps: 1008/8062
chronics at: Scenario_may_037	total score: 24968.320312	time steps: 1347/8062
chronics at: Scenario_may_052	total score: 22799.960938	time steps: 1049/8062
chronics at: Scenario_may_066	total score: 3897.082275	time steps: 210/8062
chronics at: Scenario_may_130	total score: 22050.232422	time steps: 1105/8062
chronics at: Scenario_may_239	total score: 6715.333496	time steps: 346/8062
chronics at: Scenario_may_264	total score: 15618.672852	time steps: 769/8062
chronics at: Scenario_may_271	total score: 13725.022461	time steps: 651/8062
chronics at: Scenario_may_311	total score: 22778.886719	time steps: 1054/8062
chronics at: Scenario_may_314	total score: 15207.125977	time steps: 802/8062
chronics at: Scenario_may_338	total score: 18262.583984	time steps: 901/8062
chronics at: Scenario_may_343	total score: 9816.265625	time steps: 512/8062
chronics at: Scenario_november_009	total score: 44158.222656	time steps: 1308/8062
chronics at: Scenario_november_051	total score: 7610.409668	time steps: 257/8062
chronics at: Scenario_november_063	total score: 3890.528809	time steps: 131/8062
chronics at: Scenario_november_077	total score: 3789.232178	time steps: 114/8062
chronics at: Scenario_november_086	total score: 5955.740234	time steps: 160/8062
chronics at: Scenario_november_100	total score: 4376.036621	time steps: 120/8062
chronics at: Scenario_november_104	total score: 4809.249023	time steps: 140/8062
chronics at: Scenario_november_121	total score: 14229.362305	time steps: 406/8062
chronics at: Scenario_november_150	total score: 4331.407227	time steps: 150/8062
chronics at: Scenario_november_166	total score: 4007.864746	time steps: 144/8062
chronics at: Scenario_november_174	total score: 35741.667969	time steps: 1081/8062
chronics at: Scenario_november_190	total score: 12960.322266	time steps: 412/8062
chronics at: Scenario_november_218	total score: 7705.678223	time steps: 244/8062
chronics at: Scenario_november_229	total score: 29574.835938	time steps: 849/8062
chronics at: Scenario_november_249	total score: 4568.564453	time steps: 135/8062
chronics at: Scenario_november_256	total score: 8664.416992	time steps: 301/8062
chronics at: Scenario_november_268	total score: 3439.618896	time steps: 99/8062
chronics at: Scenario_october_010	total score: 16805.005859	time steps: 535/8062
chronics at: Scenario_october_011	total score: 3268.177734	time steps: 109/8062
chronics at: Scenario_october_013	total score: 9685.273438	time steps: 323/8062
chronics at: Scenario_october_019	total score: 1409.498901	time steps: 35/8062
chronics at: Scenario_october_034	total score: 15985.110352	time steps: 510/8062
chronics at: Scenario_october_044	total score: 22156.732422	time steps: 813/8062
chronics at: Scenario_october_086	total score: 3686.962646	time steps: 129/8062
chronics at: Scenario_october_113	total score: 3838.338867	time steps: 128/8062
chronics at: Scenario_october_142	total score: 11764.591797	time steps: 388/8062
chronics at: Scenario_october_176	total score: 3127.510254	time steps: 78/8062
chronics at: Scenario_october_179	total score: 3129.322266	time steps: 84/8062
chronics at: Scenario_october_180	total score: 3293.606445	time steps: 127/8062
chronics at: Scenario_october_181	total score: 24653.462891	time steps: 809/8062
