chronics at: Scenario_may_264	total score: 107.041061	time steps: 4/8062
chronics at: Scenario_may_271	total score: 522.404602	time steps: 20/8062
chronics at: Scenario_may_311	total score: 1787.225220	time steps: 103/8062
chronics at: Scenario_may_314	total score: 208.979950	time steps: 8/8062
chronics at: Scenario_may_338	total score: 132.131592	time steps: 6/8062
chronics at: Scenario_may_343	total score: 1810.946533	time steps: 37/8062
chronics at: Scenario_november_009	total score: 987.660034	time steps: 24/8062
chronics at: Scenario_november_051	total score: 785.426880	time steps: 25/8062
chronics at: Scenario_november_063	total score: 963.886963	time steps: 32/8062
chronics at: Scenario_november_077	total score: 2039.477417	time steps: 48/8062
chronics at: Scenario_november_086	total score: 702.734497	time steps: 17/8062
chronics at: Scenario_november_100	total score: 1698.034180	time steps: 37/8062
chronics at: Scenario_november_104	total score: 1670.959351	time steps: 39/8062
chronics at: Scenario_november_121	total score: 1514.433105	time steps: 35/8062
chronics at: Scenario_november_150	total score: 806.970459	time steps: 28/8062
chronics at: Scenario_november_166	total score: 226.165527	time steps: 7/8062
chronics at: Scenario_november_174	total score: 3802.005127	time steps: 104/8062
chronics at: Scenario_november_190	total score: 2017.480713	time steps: 48/8062
chronics at: Scenario_november_218	total score: 3109.004150	time steps: 40/8062
chronics at: Scenario_november_229	total score: 3607.722656	time steps: 104/8062
chronics at: Scenario_november_249	total score: 1100.136108	time steps: 28/8062
chronics at: Scenario_november_256	total score: 3890.009033	time steps: 117/8062
chronics at: Scenario_november_268	total score: 3828.046875	time steps: 97/8062
chronics at: Scenario_october_010	total score: 244.554199	time steps: 5/8062
chronics at: Scenario_october_011	total score: 674.996887	time steps: 19/8062
chronics at: Scenario_october_013	total score: 142.724533	time steps: 4/8062
chronics at: Scenario_october_019	total score: 198.203979	time steps: 4/8062
chronics at: Scenario_october_034	total score: 835.294067	time steps: 20/8062
chronics at: Scenario_october_044	total score: 761.467163	time steps: 20/8062
chronics at: Scenario_october_086	total score: 447.782684	time steps: 12/8062
chronics at: Scenario_october_113	total score: 3110.761475	time steps: 84/8062
chronics at: Scenario_october_142	total score: 2191.487305	time steps: 60/8062
chronics at: Scenario_october_176	total score: 519.834961	time steps: 15/8062
chronics at: Scenario_october_179	total score: 1614.245361	time steps: 40/8062
chronics at: Scenario_october_180	total score: 714.619507	time steps: 20/8062
chronics at: Scenario_october_181	total score: 1070.715942	time steps: 28/8062
chronics at: Scenario_october_230	total score: 1982.765625	time steps: 49/8062
chronics at: Scenario_october_231	total score: 379.968384	time steps: 8/8062
chronics at: Scenario_october_236	total score: 698.644043	time steps: 17/8062
chronics at: Scenario_october_248	total score: 5258.411133	time steps: 101/8062
chronics at: Scenario_october_252	total score: 583.392273	time steps: 16/8062
chronics at: Scenario_october_255	total score: 3042.144531	time steps: 68/8062
chronics at: Scenario_october_267	total score: 1706.801147	time steps: 44/8062
chronics at: Scenario_september_038	total score: 388.567535	time steps: 12/8062
chronics at: Scenario_september_045	total score: 2175.243164	time steps: 71/8062
chronics at: Scenario_september_071	total score: 293.110809	time steps: 8/8062
chronics at: Scenario_september_081	total score: 141.348221	time steps: 4/8062
chronics at: Scenario_september_085	total score: 864.325562	time steps: 25/8062
chronics at: Scenario_september_112	total score: 1202.144531	time steps: 40/8062
chronics at: Scenario_september_113	total score: 313.610260	time steps: 8/8062
chronics at: Scenario_september_127	total score: 2043.277100	time steps: 69/8062
chronics at: Scenario_september_136	total score: 5231.471680	time steps: 68/8062
chronics at: Scenario_september_150	total score: 1882.388794	time steps: 57/8062
chronics at: Scenario_september_201	total score: 7951.767578	time steps: 252/8062
chronics at: Scenario_september_205	total score: 567.452209	time steps: 16/8062
